시군명,사업장명,영업상태명,소재지시설전화번호,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,축산업무구분명
가평군,이화온누리약국,말소,582-6904,12420,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지,12420,동물약국
가평군,연인산약국,말소,581-8362,,경기도 가평군 가평읍 가화로 47 (대곡리),경기도 가평군 가평읍 대곡리 189-3번지,12420,동물약국
가평군,보명약국,정상,031-582-7639,12418,"경기도 가평군 가평읍 가화로 123, 보명약국",경기도 가평군 가평읍 읍내리 470-3 보령약국 ,12418,동물약국
가평군,감초온누리약국,정상,5851008,12465,"경기도 가평군 설악면 신천중앙로88번길 1, 온누리감초약국",경기도 가평군 설악면 신천리 120-3번지 온누리감초약국,12465,동물약국
가평군,효정약국,정상,031-585-7639,12461,"경기도 가평군 설악면 미사리로 267-181, 의료시설 1동 1층",경기도 가평군 설악면 송산리 426-26 ,12461,동물약국
가평군,우림약국,정상,0315825661,12413,"경기도 가평군 가평읍 가화로 155-19, 우림약국",경기도 가평군 가평읍 읍내리 624-13번지 우림약국,12413,동물약국
가평군,가평중앙약국,정상,031-581-7522,12418,"경기도 가평군 가평읍 연인1길 1, 임내과의원",경기도 가평군 가평읍 읍내리 476-7 임내과의원 ,12418,동물약국
가평군,대성약국,정상,584-1050,12465,"경기도 가평군 설악면 신천중앙로 118, 삼성의원",경기도 가평군 설악면 신천리 435-14번지 삼성의원,12465,동물약국
가평군,가평온누리약국,정상,031-581-8777,12418,경기도 가평군 가평읍 가화로 113 (새희망의원),경기도 가평군 가평읍 읍내리 468-22번지 새희망의원,12418,동물약국
가평군,란약국,폐업,581-0625,12449,경기도 가평군 청평면 경춘로 1401,경기도 가평군 청평면 상천리 295번지,12449,동물약국
가평군,소리약국,폐업,581-7761,12413,경기도 가평군 가평읍 석봉로 198,경기도 가평군 가평읍 읍내리 615-5번지,12413,동물약국
고양시,일산나을약국,말소,031-907-1804,410811,경기도 고양시 일산동구 중앙로 1172 (마두동),경기도 고양시 일산동구 마두동 802-1번지 일산그랜드플라자 510호,10414,동물약국
고양시,삼송스타약국,정상,,10595,"경기도 고양시 덕양구 고양대로 1955, 지하2층 (동산동, 스타필드고양)",경기도 고양시 덕양구 동산동 370번지 스타필드 고양,10595,동물약국
고양시,솔벗약국,정상,905-0377,,"경기도 고양시 일산동구 중앙로 1194 103호 (마두동,금강프라자)",경기도 고양시 일산동구 마두동 798-3   번지 금강프라자103호,10414,동물약국
고양시,삼성약국,정상,,10495,"경기도 고양시 덕양구 중앙로558번길 13, 102호 (행신동)",경기도 고양시 덕양구 행신동 945-1번지 능곡 삼성프라자 102호,10495,동물약국
고양시,예닮약국,정상,031-977-6617,10375,"경기도 고양시 일산서구 후곡로 22, 신일빌딩 105,106호 (일산동)",경기도 고양시 일산서구 일산동 1059 신일빌딩 ,10375,동물약국
고양시,보성약국,정상,,10556,경기도 고양시 덕양구 삼송로 189-7 (삼송동),경기도 고양시 덕양구 삼송동 27-1번지,10556,동물약국
고양시,정다운약국,정상,906-4946,,"경기도 고양시 일산동구 일산로 213 106호 (마두동,두성코아)",경기도 고양시 일산동구 마두동 737번지 두성코아 106호,10416,동물약국
고양시,온누리 종로 약국,정상,031-913-2243,10239,"경기도 고양시 일산서구 일현로 140, 114~116호 (탄현동, 큰마을현대아파트)",경기도 고양시 일산서구 탄현동 121번지 큰마을현대아파트 상가,10239,동물약국
고양시,삼성약국,정상,,10495,경기도 고양시 덕양구 중앙로558번길 13 (행신동),경기도 고양시 덕양구 행신동 945-1번지 삼성프라자 102호,10495,동물약국
고양시,대원약국,정상,911-8302,411848,경기도 고양시 일산서구 중앙로 1426 (주엽동),경기도 고양시 일산서구 주엽동 66-1번지 일송노블레스,10386,동물약국
고양시,삼송제일약국,정상,070-8861-0009,10571,"경기도 고양시 덕양구 권율대로 886, 102호 (신원동)",경기도 고양시 덕양구 신원동 626번지 호평PLAZA 102호,10571,동물약국
고양시,새일산약국,정상,,10415,"경기도 고양시 일산동구 강송로 179, 102호 (마두동, 신일산클리닉빌딩)",경기도 고양시 일산동구 마두동 792-2번지 102호,10415,동물약국
고양시,태양보룡,정상,,,경기도 고양시 일산서구 고양대로662번길 15 (일산동),경기도 고양시 일산서구 일산동 655-9   번지,10353,동물약국
고양시,뉴코아약국,정상,,10417,"경기도 고양시 일산동구 강촌로 157, 103호 (마두동, 서울코아)",경기도 고양시 일산동구 마두동 731번지 103호,10417,동물약국
고양시,나무약국,정상,,10449,"경기도 고양시 일산동구 일산로 46, 남정씨티프라자 113호 (백석동)",경기도 고양시 일산동구 백석동 1308번지 남정씨티프라자 113호,10449,동물약국
고양시,동부약국,정상,031-974-0659,10518,경기도 고양시 덕양구 중앙로 547 (행신동),경기도 고양시 덕양구 행신동 995-2번지,10518,동물약국
고양시,밝은미소약국,정상,,10500,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 405호 (화정동)",경기도 고양시 덕양구 화정동 972번지 영프라자빌딩,10500,동물약국
고양시,사랑가득무지개약국,정상,,10486,"경기도 고양시 덕양구 중앙로 438, 105호 (행신동, 아름터프라자)",경기도 고양시 덕양구 행신동 1083-3번지 아름터프라자 105호,10486,동물약국
고양시,작은약국,정상,,10526,"경기도 고양시 덕양구 용현로 7 (행신동, 에버그린 110호 )",경기도 고양시 덕양구 행신동 765-1번지 에버그린 110호,10526,동물약국
고양시,한국약국,정상,968-9992,10464,경기도 고양시 덕양구 호국로 778-28 (성사동),경기도 고양시 덕양구 성사동 701번지,10464,동물약국
고양시,백상약국,정상,916-9881,,"경기도 고양시 일산서구 고양대로 618 102호 (일산동,풍원리빙프라자)",경기도 고양시 일산서구 일산동 957-3번지 풍원 리빙프라자 102,10352,동물약국
고양시,일산심야동물약국,정상,,10364,"경기도 고양시 일산동구 고봉로 20-21, B동 119호 (장항동, 양우로데오랜드)",경기도 고양시 일산동구 장항동 740-4번지 B동 119호,10364,동물약국
